Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
Live Nation Entertainment,"Beverly Hills, California",Travel & Leisure,2005,"Beverly Hills, California",Michael Rapino,"10,200"
M3,"Tokyo, Japan",Health Care Equipment & Services,2000,Tokyo,Itaru Tanimura,"8,249"
China Industrial Securities,"Fuzhou, China",Diversified Financials,2000,Fuzhou,Wen Tan,"10,200"
Sumec Corporation,"Nanjing, China",Conglomerates,Nanjing,China,"22,609",
Chugoku Bank,"Okayama, Japan",Banking,1930,Okayama,Masato Miyanaga,"3,171"
Cullen/Frost Bankers,"San Antonio, Texas",Banking,1868,"San Antonio, Texas",Phillip D. Green,"4,553"
Pool,"Covington, Louisiana",Trading Companies,1993,"Covington, Louisiana",Peter D. Arvan,"5,500"
Aramark,"Philadelphia, Pennsylvania",Business Services & Supplies,1936,"Philadelphia, Pennsylvania",John J. Zillmer,"248,300"
Zalando,"Berlin, Germany",Retailing,2014,Berlin,"Robert Gentz, Rubin Ritter","17,043"
Adani Transmission,"Ahmedabad, India",Utilities,2013,Ahmedabad,Anil Kumar Sardana,"11,922"
Eurobank Ergasias,"Athens, Greece",Banking,Athens,Greece,"8,617",
77 Bank,"Sendai, Japan",Banking,1878,Sendai,Hidefumi Kobayashi,"2,812"
BJ's Wholesale Club,"Westborough, Massachusetts",Retailing,1984,"Westborough, Massachusetts",Robert W. Eddy,"34,000"
PVH,"New York, New York",Household & Personal Products,1881,"New York, New York",Stefan Larsson,"31,000"
Petro Rabigh,"Rabigh, Saudi Arabia",Oil & Gas Operations,2005,Rabigh,Othman bin Ali Al Ghamdi,
Piraeus Financial Holdings,"Athens, Greece",Banking,1916,Athens,Christos Ioanni Megalou,"9,493"
Arca Continental,"Monterrey, Mexico","Food, Drink & Tobacco",2001,Monterrey,Arturo Gutiérrez Hernández,"62,857"
Shanghai Commercial & Savings Bank,"Taipei, Taiwan",Banking,Taipei,Taiwan,,
ResMed,"San Diego, California",Health Care Equipment & Services,1989,"San Diego, California",Michael J. Farrell,"7,970"
Daishi Hokuetsu Financial Group,"Niigata, Japan",Banking,Niigata,Japan,,
Iveco Group,"Turin, Italy",Consumer Durables,Turin,Italy,3,
PBF Energy,"Parsippany, New Jersey",Oil & Gas Operations,2008,"Parsippany, New Jersey",Thomas J. Nimbley,"3,418"
Datadog,"New York, New York",IT Software & Services,2010,"New York, New York",Olivier Pomel,"3,200"
SBA Communications,"Boca Raton, Florida",Diversified Financials,1989,"Boca Raton, Florida",Jeffrey A. Stoops,"1,596"
